tf_gene_name	uniprot_id	uniprot_ac	gene_names	tf_superclass	tf_class	tf_family	tf_subfamily	tf_genus	tf_molecular_species	cisbp_families	cisbp_dbds
CLOCK	CLOCK_HUMAN	O15516	CLOCK:BHLHE8:KIAA0334	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	PAS domain factors{1.2.5}	Arnt-like factors{1.2.5.2}	CLOCK{1.2.5.2.5}		bHLH	HLH
CPEB1	CPEB1_HUMAN	Q9BZB8	CPEB1:CPEB							Unknown	UNKNOWN
CREB1	CREB1_HUMAN	P16220	CREB1	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	CREB-related factors{1.1.7}	CREB-like factors{1.1.7.1}	CREB (CREB1){1.1.7.1.1}	CREB-A{1.1.7.1.1.1}:CREB-B{1.1.7.1.1.2}:htCREB, isoform 3{1.1.7.1.1.3}	bZIP	bZIP_1
CREB3	CREB3_HUMAN	O43889	CREB3:LZIP	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	CREB-related factors{1.1.7}	CREB-3-like factors{1.1.7.2}	CREB-3 (Luman){1.1.7.2.1}	CREB-3, isoform 1{1.1.7.2.1.1}:LZIP, isoform 2{1.1.7.2.1.2}:sLZIP, isoform 3{1.1.7.2.1.3}	bZIP	bZIP_1
CREB3L1	CR3L1_HUMAN	Q96BA8	CREB3L1:OASIS:PSEC0238	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	CREB-related factors{1.1.7}	CREB-3-like factors{1.1.7.2}	CREB-3L1 (OASIS){1.1.7.2.2}	CREB-3L1, isoform 1{1.1.7.2.2.1}:CREB-3L1, isoform 2{1.1.7.2.2.2}	bZIP	bZIP_1
CREB3L2	CR3L2_HUMAN	Q70SY1	CREB3L2:BBF2H7	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	CREB-related factors{1.1.7}	CREB-3-like factors{1.1.7.2}	CREB-3L2{1.1.7.2.3}	CREB-3L2, isoform 1{1.1.7.2.3.1}:CREB-3L2, isoform 2{1.1.7.2.3.2}:CREB-3L2, isoform 3{1.1.7.2.3.3}	bZIP	bZIP_1
CREB3L4	CR3L4_HUMAN	Q8TEY5	CREB3L4:AIBZIP:CREB4:JAL	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	CREB-related factors{1.1.7}	CREB-3-like factors{1.1.7.2}	CREB-3L4{1.1.7.2.5}	CREB-3L4, isoform 1{1.1.7.2.5.1}:CREB-3L4, isoform 2{1.1.7.2.5.2}	bZIP	bZIP_1
CREB5	CREB5_HUMAN	Q02930	CREB5:CREBPA	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	Jun-related factors{1.1.1}	ATF-2-like factors{1.1.1.3}	CREB-5 (CRE-BPa){1.1.1.3.3}	CREB-5alpha, isoform 1{1.1.1.3.3.1}:CREB-5beta, isoform 2{1.1.1.3.3.2}:CREB-5gamma, isoform 3{1.1.1.3.3.3}:CREB-5delta, isoform 4{1.1.1.3.3.4}	bZIP	bZIP_1
CREBBP	CBP_HUMAN	Q92793	CREBBP:CBP								
CREM	CREM_HUMAN	Q03060	CREM	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	CREB-related factors{1.1.7}	CREB-like factors{1.1.7.1}	CREM{1.1.7.1.3}	CREM, isoform 1 (CREM-BCEFGgammaHIbeta{1.1.7.1.3.1}:CREM-theta1tau2beta, isoform 10 (CREM-theta1EFGHIbeta){1.1.7.1.3.10}:CREM-theta1beta, isoform 11 (CREM-theta1EFHIbeta){1.1.7.1.3.11}:CREM-theta2beta, isoform 12 (CREM-theta2EFHIb){1.1.7.1.3.12}:CREM, isoform 13 (CREM-BEFGgammaHIbeta){1.1.7.1.3.13}:CREM-tau2gamma, isoform 14 (CREM-BEFGHIbeta){1.1.7.1.3.14}:CREM, isoform 15 (CREM-BGHIbeta){1.1.7.1.3.15}:CREM-DelC-G, isoform 16 (CREM-BgammaHIbeta){1.1.7.1.3.16}:CREM, isoform 17 (CREM-BHIbeta){1.1.7.1.3.17}:CREM, isoform 18 (CREM-BHIalpha){1.1.7.1.3.18}:CREM-theta1tau2gamma, isoform 19 (CREM-theta1EFGgammaHIbeta){1.1.7.1.3.19}:CREM-beta, isoform 2 (CREM-BCEFGHIbeta){1.1.7.1.3.2}:CREM, isoform 20{1.1.7.1.3.20}:CREM, isoform 21{1.1.7.1.3.21}:CREM, isoform 22{1.1.7.1.3.22}:CREM, isoform 23{1.1.7.1.3.23}:CREM, isoform 24{1.1.7.1.3.24}:CREM, isoform 25{1.1.7.1.3.25}:CREM, isoform 26{1.1.7.1.3.26}:CREM, isoform 27{1.1.7.1.3.27}:CREM, isoform 28{1.1.7.1.3.28}:CREM, isoform 29{1.1.7.1.3.29}:CREM-tau, isoform 3 (CREM-BCEFGIalpha){1.1.7.1.3.3}:CREM-gamma, isoform 4 (CREM-BEFHIb){1.1.7.1.3.4}:CREM-theta2tau-gamma, isoform 5 (CREM-theta2EFGHIb){1.1.7.1.3.5}:ICER-I, isoform 6 (IcergammaHIalpha){1.1.7.1.3.6}:ICER-Igamma, isoform 7 (IcerHIalpha){1.1.7.1.3.7}:ICER-II, isoform 8 (IcergammaHIbeta){1.1.7.1.3.8}:ICER-IIgamma, isoform 9 (IcerHIbeta){1.1.7.1.3.9}	bZIP	bZIP_1
CRX	CRX_HUMAN	O43186	CRX:CORD2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTX{3.1.3.17}	CRX (CORD-2){3.1.3.17.3}		Homeodomain	Homeobox
CRY1	CRY1_HUMAN	Q16526	CRY1:PHLL1								
CSL	CSHL_HUMAN	Q14406	CSHL1:CSHP1:CSL								
CSNK2A1	CSK21_HUMAN	P68400	CSNK2A1:CK2A1								
CTBP1	CTBP1_HUMAN	Q13363	CTBP1:CTBP								
CTBP2	CTBP2_HUMAN	P56545	CTBP2								
CTCF	CTCF_HUMAN	P49711	CTCF	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	CTCF-like factors{2.3.3.50}	CTCF [11]{2.3.3.50.1}	CTCF, isoform 1{2.3.3.50.1.1}:CTCF, isoform 2{2.3.3.50.1.2}	C2H2 ZF	zf-C2H2
CTCFL	CTCFL_HUMAN	Q8NI51	CTCFL:BORIS	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	CTCF-like factors{2.3.3.50}	CTCFL (CTCF-T, BORIS) [11]{2.3.3.50.2}	CTCFL, isoform 1{2.3.3.50.2.1}:CTCFL, isoform 10{2.3.3.50.2.10}:CTCFL, isoform 11{2.3.3.50.2.11}:CTCFL, isoform 2{2.3.3.50.2.2}:CTCFL, isoform 3{2.3.3.50.2.3}:CTCFL, isoform 4{2.3.3.50.2.4}:CTCFL, isoform 5{2.3.3.50.2.5}:CTCFL, isoform 6{2.3.3.50.2.6}:CTCFL, isoform 7{2.3.3.50.2.7}:CTCFL, isoform 8{2.3.3.50.2.8}:CTCFL, isoform 9{2.3.3.50.2.9}	C2H2 ZF	zf-C2H2
CTNNB1	CTNB1_HUMAN	P35222	CTNNB1:CTNNB:OK/SW-cl.35:PRO2286								
CUX2	CUX2_HUMAN	O14529	CUX2:CUTL2:KIAA0293	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HD-CUT factors{3.1.9}	CUX{3.1.9.2}	Cux-2 (Cut-L2){3.1.9.2.2}		CUT	Homeodomain	CUT	Homeobox
CXXC1	CXXC1_HUMAN	Q9P0U4	CXXC1:CFP1:CGBP:PCCX1:PHF18	Zinc-coordinating DNA-binding domains{2}	CXXC zinc finger factors{2.6}	CpG-binding proteins{2.6.1}	CpG-binding protein (CXXC1, CFP1, CGBP, PCCX1, PHF18){2.6.1.0.1}	CpG-binding protein (CXXC1, CFP1, CGBP, PCCX1, PHF18){2.6.1.0.1}	CXXC1, isoform 1{2.6.1.0.1.1}:CXXC1, isoform 2{2.6.1.0.1.2}		
CXXC4	CXXC4_HUMAN	Q9H2H0	CXXC4:IDAX								
CXXC5	CXXC5_HUMAN	Q7LFL8	CXXC5:HSPC195:TCCCIA00297							CxxC	zf-CXXC
Cdx1	CDX1_MOUSE	P18111	Cdx1:Cdx-1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	CDX (Caudal type homeobox){3.1.1.9}	CDX-1{3.1.1.9.1}		Homeodomain	Homeobox
Cdx2	CDX2_MOUSE	P43241	Cdx2:Cdx-2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	CDX (Caudal type homeobox){3.1.1.9}	CDX-2 (CDX-3){3.1.1.9.2}		Homeodomain	Homeobox
Cebpa	CEBPA_MOUSE	P53566	Cebpa:Cebp	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	C/EBP-related{1.1.8}	C/EBP{1.1.8.1}	C/EBPalpha{1.1.8.1.1}		bZIP	bZIP_1
Cebpb	CEBPB_MOUSE	P28033	Cebpb	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	C/EBP-related{1.1.8}	C/EBP{1.1.8.1}	C/EBPbeta (NF-IL6-1){1.1.8.1.2}	C/EBPbeta, isoform 1 (C/EBPbeta-FL){1.1.8.1.2.1}:C/EBPbeta, isoform 2 (C/EBPbeta-LAP){1.1.8.1.2.2}:C/EBPbeta, isoform 3 (C/EBPbeta-LIP){1.1.8.1.2.3}	bZIP	bZIP_1
Cramp1l	CRML_MOUSE	Q6PG95	Cramp1:Cramp1l:Hn1l:Kiaa1426:Tce4	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Myb/SANT domain factors{3.5.1}	MIER-like factors{3.5.1.3}	CRAMP1L (HN1L){3.5.1.3.11}			
Crx	CRX_MOUSE	O54751	Crx	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTX{3.1.3.17}	CRX (CORD-2){3.1.3.17.3}		Homeodomain	Homeobox
DAXX	DAXX_HUMAN	Q9UER7	DAXX:BING2:DAP6								
DBP	DBP_HUMAN	Q10586	DBP	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	C/EBP-related{1.1.8}	PAR factors{1.1.8.2}	DBP{1.1.8.2.1}		bZIP	bZIP_1
DDX20	DDX20_HUMAN	Q9UHI6	DDX20:DP103:GEMIN3								
DDX5	DDX5_HUMAN	P17844	DDX5:G17P1:HELR:HLR1								
DEK	DEK_HUMAN	P35659	DEK								
DIDO1	DIDO1_HUMAN	Q9BTC0	DIDO1:C20orf158:DATF1:KIAA0333								
DLX1	DLX1_HUMAN	P56177	DLX1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	DLX{3.1.2.5}	DLX-1{3.1.2.5.1}	DLX-1, isoform 1{3.1.2.5.1.1}:DLX-1, isoform 2{3.1.2.5.1.2}	Homeodomain	Homeobox
DLX2	DLX2_HUMAN	Q07687	DLX2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	DLX{3.1.2.5}	DLX-2{3.1.2.5.2}		Homeodomain	Homeobox
DLX3	DLX3_HUMAN	O60479	DLX3	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	DLX{3.1.2.5}	DLX-3{3.1.2.5.3}		Homeodomain	Homeobox
DLX4	DLX4_HUMAN	Q92988	DLX4:BP1:DLX7:DLX8:DLX9	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	DLX{3.1.2.5}	DLX-4{3.1.2.5.4}	DLX-4, isoform 1{3.1.2.5.4.1}:DLX-4, isoform 2{3.1.2.5.4.2}:DLX-4, isoform 3{3.1.2.5.4.3}	Homeodomain	Homeobox
DLX5	DLX5_HUMAN	P56178	DLX5	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	DLX{3.1.2.5}	DLX-5{3.1.2.5.5}		Homeodomain	Homeobox
DLX6	DLX6_HUMAN	P56179	DLX6	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	DLX{3.1.2.5}	DLX-6{3.1.2.5.6}	DLX-6, isoform 1{3.1.2.5.6.1}:DLX-6, isoform 2{3.1.2.5.6.2}:DLX-6, isoform 3{3.1.2.5.6.3}	Homeodomain	Homeobox
DMBX1	DMBX1_HUMAN	Q8NFW5	DMBX1:MBX:OTX3:PAXB	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	DMBX{3.1.3.4}	DMBX (MBX, OTX-3, PAXB){3.1.3.4.1}	DMBX, isoform 1 (MBX-L){3.1.3.4.1.1}:DMBX, isoform 2 (MBX-S){3.1.3.4.1.2}	Homeodomain	Homeobox
DMRT1	DMRT1_HUMAN	Q9Y5R6	DMRT1:DMT1	Zinc-coordinating DNA-binding domains{2}	DM-type intertwined zinc finger factors{2.5}	DMRT{2.5.1}	DMRT1{2.5.1.0.1}	DMRT1{2.5.1.0.1}	DMRT1, isoform 1{2.5.1.0.1.1}:DMRT1, isoform 2{2.5.1.0.1.2}:DMRT1, isoform 3{2.5.1.0.1.3}	DM	DM
DMRT2	DMRT2_HUMAN	Q9Y5R5	DMRT2:DSXL2	Zinc-coordinating DNA-binding domains{2}	DM-type intertwined zinc finger factors{2.5}	DMRT{2.5.1}	DMRT2{2.5.1.0.2}	DMRT2{2.5.1.0.2}	DMRT2, isoform 1{2.5.1.0.2.1}:DMRT2, isoform 2{2.5.1.0.2.2}:DMRT2, isoform 3{2.5.1.0.2.3}	DM	DM
DMRT3	DMRT3_HUMAN	Q9NQL9	DMRT3:DMRTA3	Zinc-coordinating DNA-binding domains{2}	DM-type intertwined zinc finger factors{2.5}	DMRT{2.5.1}	DMRT3{2.5.1.0.3}	DMRT3{2.5.1.0.3}		DM	DM
DMRTA1	DMRTA_HUMAN	Q5VZB9	DMRTA1:DMO	Zinc-coordinating DNA-binding domains{2}	DM-type intertwined zinc finger factors{2.5}	DMRT{2.5.1}	DMRTA1 (DMRT4){2.5.1.0.4}	DMRTA1 (DMRT4){2.5.1.0.4}		DM	DM
DMRTA2	DMTA2_HUMAN	Q96SC8	DMRTA2:DMRT5	Zinc-coordinating DNA-binding domains{2}	DM-type intertwined zinc finger factors{2.5}	DMRT{2.5.1}	DMRTA2 (DMRT5){2.5.1.0.5}	DMRTA2 (DMRT5){2.5.1.0.5}		DM	DM
DMRTC2	DMRTD_HUMAN	Q8IXT2	DMRTC2	Zinc-coordinating DNA-binding domains{2}	DM-type intertwined zinc finger factors{2.5}	DMRT{2.5.1}	DMRTC2{2.5.1.0.7}	DMRTC2{2.5.1.0.7}	DMRTC2, isoform 1{2.5.1.0.7.1}:DMRTC2, isoform 2{2.5.1.0.7.2}	DM	DM
DNAjc21	DJC21_MOUSE	E9Q8D0	Dnajc21								
DNMT1	DNMT1_HUMAN	P26358	DNMT1:AIM:CXXC9:DNMT	Zinc-coordinating DNA-binding domains{2}	CXXC zinc finger factors{2.6}	CpG-binding proteins{2.6.1}	DNMT1 (CXXC9, AIM, DNMT){2.6.1.0.6}	DNMT1 (CXXC9, AIM, DNMT){2.6.1.0.6}	DNMT1, isoform 1{2.6.1.0.6.1}:DNMT1, isoform 2 (Dnmt1b){2.6.1.0.6.2}:DNMT1, isoform 3{2.6.1.0.6.3}	CxxC	zf-CXXC
DNMT3B	DNM3B_HUMAN	Q9UBC3	DNMT3B	Zinc-coordinating DNA-binding domains{2}	Other C4 zinc finger-type factors{2.2}	GATA-type zinc fingers{2.2.1}	Single GATA-type zinc-finger{2.2.1.2}	DNMT3B{2.2.1.2.10}	DNMT3B, isoform 1{2.2.1.2.10.1}:DNMT3B, isoform 2{2.2.1.2.10.2}:DNMT3B, isoform 3{2.2.1.2.10.3}:DNMT3B, isoform 4{2.2.1.2.10.4}:DNMT3B, isoform 5{2.2.1.2.10.5}:DNMT3B, isoform 6{2.2.1.2.10.6}:DNMT3B, isoform 7{2.2.1.2.10.7}:DNMT3B, isoform 8{2.2.1.2.10.8}		
DPF1	DPF1_HUMAN	Q92782	DPF1:BAF45B:NEUD4							C2H2 ZF	zf-C2H2
DPF2	REQU_HUMAN	Q92785	DPF2:BAF45D:REQ:UBID4								
DPRX	DPRX_HUMAN	A6NFQ7	DPRX	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	DPRX{3.1.3.5}	DPRX{3.1.3.5.1}		Homeodomain	Homeobox
DRGX	DRGX_HUMAN	A6NNA5	DRGX:PRRXL1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	DRGX{3.1.3.6}	DRGX (PRRXL1, Drg11){3.1.3.6.1}		Homeodomain	Homeobox
DUX4	DUX4_HUMAN	Q9UBX2	DUX4:DUX10	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	DUX{3.1.3.7}	DUX4{3.1.3.7.5}			
DUXA	DUXA_HUMAN	A6NLW8	DUXA	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	DUX{3.1.3.7}	DUXA{3.1.3.7.1}		Homeodomain	Homeobox
Dbp	DBP_MOUSE	Q60925	Dbp	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	C/EBP-related{1.1.8}	PAR factors{1.1.8.2}	DBP{1.1.8.2.1}		bZIP	bZIP_1
Dbx1	DBX1_MOUSE	P52950	Dbx1:Dbx	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	DBX{3.1.2.4}	DBX-1{3.1.2.4.1}			
Dlx1	DLX1_MOUSE	Q64317	Dlx1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	DLX{3.1.2.5}	DLX-1{3.1.2.5.1}		Homeodomain	Homeobox
Dlx2	DLX2_MOUSE	P40764	Dlx2:Tes-1:Tes1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	DLX{3.1.2.5}	DLX-2{3.1.2.5.2}		Homeodomain	Homeobox
Dlx3	DLX3_MOUSE	Q64205	Dlx3	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	DLX{3.1.2.5}	DLX-3{3.1.2.5.3}		Homeodomain	Homeobox
Dlx4	DLX4_MOUSE	P70436	Dlx4:Dlx7	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	DLX{3.1.2.5}	DLX-4{3.1.2.5.4}		Homeodomain	Homeobox
Dlx5	DLX5_MOUSE	P70396	Dlx5	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	DLX{3.1.2.5}	DLX-5{3.1.2.5.5}	DLX-5, isoform 1 (alpha){3.1.2.5.5.1}:DLX-5, isoform 2 (beta){3.1.2.5.5.2}:DLX-5, isoform 3 (gamma){3.1.2.5.5.3}	Homeodomain	Homeobox
Dmbx1	DMBX1_MOUSE	Q91ZK4	Dmbx1:Cdmx:Mbx:Otx3:PaxB	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	DMBX{3.1.3.4}	DMBX (MBX, OTX-3, PAXB){3.1.3.4.1}	DMBX, isoform 1{3.1.3.4.1.1}:DMBX, isoform 2{3.1.3.4.1.2}	Homeodomain	Homeobox
Dnmt3a	DNM3A_MOUSE	O88508	Dnmt3a	Zinc-coordinating DNA-binding domains{2}	Other C4 zinc finger-type factors{2.2}	GATA-type zinc fingers{2.2.1}	Single GATA-type zinc-finger{2.2.1.2}	DNMT3A{2.2.1.2.9}	DNMT3A, isoform 1{2.2.1.2.9.1}:DNMT3A, isoform 2{2.2.1.2.9.2}		
E2F1	E2F1_HUMAN	Q01094	E2F1:RBBP3	Helix-turn-helix domains{3}	Fork head / winged helix factors{3.3}	E2F-related factors{3.3.2}	E2F{3.3.2.1}	E2F-1{3.3.2.1.1}		E2F	E2F_TDP
E2F2	E2F2_HUMAN	Q14209	E2F2	Helix-turn-helix domains{3}	Fork head / winged helix factors{3.3}	E2F-related factors{3.3.2}	E2F{3.3.2.1}	E2F-2{3.3.2.1.2}		E2F	E2F_TDP
E2F3	E2F3_HUMAN	O00716	E2F3:KIAA0075	Helix-turn-helix domains{3}	Fork head / winged helix factors{3.3}	E2F-related factors{3.3.2}	E2F{3.3.2.1}	E2F-3{3.3.2.1.3}	E2F-3, isoform 1{3.3.2.1.3.1}:E2F-3, isoform 2{3.3.2.1.3.2}	E2F	E2F_TDP
E2F4	E2F4_HUMAN	Q16254	E2F4	Helix-turn-helix domains{3}	Fork head / winged helix factors{3.3}	E2F-related factors{3.3.2}	E2F{3.3.2.1}	E2F-4{3.3.2.1.4}		E2F	E2F_TDP
E2F5	E2F5_HUMAN	Q15329	E2F5	Helix-turn-helix domains{3}	Fork head / winged helix factors{3.3}	E2F-related factors{3.3.2}	E2F{3.3.2.1}	E2F-5{3.3.2.1.5}	E2F-5, isoform 1{3.3.2.1.5.1}:E2F-5, isoform 2{3.3.2.1.5.2}:E2F-5, isoform 3{3.3.2.1.5.3}		
E2F6	E2F6_HUMAN	O75461	E2F6	Helix-turn-helix domains{3}	Fork head / winged helix factors{3.3}	E2F-related factors{3.3.2}	E2F{3.3.2.1}	E2F-6{3.3.2.1.6}	E2F-6, isoform 1{3.3.2.1.6.1}:E2F-6, isoform 2{3.3.2.1.6.2}:E2F-6, isoform 3{3.3.2.1.6.3}	E2F	E2F_TDP
E2F7	E2F7_HUMAN	Q96AV8	E2F7	Helix-turn-helix domains{3}	Fork head / winged helix factors{3.3}	E2F-related factors{3.3.2}	E2F{3.3.2.1}	E2F-7{3.3.2.1.7}	E2F-7, isoform 1{3.3.2.1.7.1}:E2F-7, isoform 2{3.3.2.1.7.2}:E2F-7, isoform 3{3.3.2.1.7.3}	E2F	E2F_TDP
E2F8	E2F8_HUMAN	A0AVK6	E2F8	Helix-turn-helix domains{3}	Fork head / winged helix factors{3.3}	E2F-related factors{3.3.2}	E2F{3.3.2.1}	E2F-8{3.3.2.1.8}		E2F	E2F_TDP
E2f4	E2F4_MOUSE	Q8R0K9	E2f4	Helix-turn-helix domains{3}	Fork head / winged helix factors{3.3}	E2F-related factors{3.3.2}	E2F{3.3.2.1}	E2F-4{3.3.2.1.4}		E2F	E2F_TDP
E4F1	E4F1_HUMAN	Q66K89	E4F1:E4F	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	unclassified{2.3.4.0}	E4F1 (p120E4F, p50E4F) [3+6]{2.3.4.0.74}			
E4f1	E4F1_MOUSE	Q8CCE9	E4f1	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	unclassified{2.3.4.0}	E4F1 (p120E4F, p50E4F) [3+6]{2.3.4.0.74}	E4F1, isoform 1{2.3.4.0.74.1}:E4F1, isoform 2{2.3.4.0.74.2}:E4F1, isoform 3{2.3.4.0.74.3}:E4F1, isoform 4 [3+1]{2.3.4.0.74.4}:E4F1, isoform 5 [2+6]{2.3.4.0.74.5}		
EBF1	COE1_HUMAN	Q9UH73	EBF1:COE1:EBF	Immunoglobulin fold{6}	Rel homology region (RHR) factors{6.1}	Early B-Cell Factor-related factors{6.1.5}	EBF1 (COE1){6.1.5.0.1}	EBF1 (COE1){6.1.5.0.1}	EBF1, isoform 1{6.1.5.0.1.1}:EBF1, isoform 2{6.1.5.0.1.2}	EBF1	COE1_DBD
EED	EED_HUMAN	O75530	EED								
EGLN2	EGLN2_HUMAN	Q96KS0	EGLN2:EIT6								
EGR1	EGR1_HUMAN	P18146	EGR1:KROX24:ZNF225	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Three-zinc finger Krüppel-related factors{2.3.1}	EGR factors{2.3.1.3}	EGR1 (Krox-24, Zif268){2.3.1.3.1}		C2H2 ZF	zf-C2H2
EGR2	EGR2_HUMAN	P11161	EGR2:KROX20	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Three-zinc finger Krüppel-related factors{2.3.1}	EGR factors{2.3.1.3}	EGR2 (Krox-20){2.3.1.3.2}	EGR2, isoform long{2.3.1.3.2.1}:EGR2, isoform short{2.3.1.3.2.2}	C2H2 ZF	zf-C2H2
EGR3	EGR3_HUMAN	Q06889	EGR3:PILOT	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Three-zinc finger Krüppel-related factors{2.3.1}	EGR factors{2.3.1.3}	EGR3 (PILOT){2.3.1.3.3}	EGR3, isoform 1{2.3.1.3.3.1}:EGR3, isoform 2{2.3.1.3.3.2}	C2H2 ZF	zf-C2H2
EGR4	EGR4_HUMAN	Q05215	EGR4	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Three-zinc finger Krüppel-related factors{2.3.1}	EGR factors{2.3.1.3}	EGR4{2.3.1.3.4}		C2H2 ZF	zf-C2H2
EHF	EHF_HUMAN	Q9NZC4	EHF:ESE3:ESE3B:ESEJ	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Ets-related factors{3.5.2}	EHF-like factors{3.5.2.4}	EHF (ESE-3){3.5.2.4.1}	ESE-3A, isoform 2{3.5.2.4.1.1}:ESE-3B, isoform 1{3.5.2.4.1.2}:ESE-3, isoform 3{3.5.2.4.1.3}	Ets	Ets
ELF1	ELF1_HUMAN	P32519	ELF1	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Ets-related factors{3.5.2}	Elf-1-like factors{3.5.2.3}	Elf-1{3.5.2.3.1}	Elf-1, isoform 1{3.5.2.3.1.1}:Elf-1, isoform 2{3.5.2.3.1.2}	Ets	Ets
ELF2	ELF2_HUMAN	Q15723	ELF2:NERF	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Ets-related factors{3.5.2}	Elf-1-like factors{3.5.2.3}	Elf-2 (NERF){3.5.2.3.2}		Ets	Ets
ELF3	ELF3_HUMAN	P78545	ELF3:ERT:ESX:JEN	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Ets-related factors{3.5.2}	EHF-like factors{3.5.2.4}	Elf-3 (ESE-1){3.5.2.4.2}	ESE-1a, isoform 2{3.5.2.4.2.1}:ESE-1b, isoform 1{3.5.2.4.2.2}	Ets	Ets
ELF4	ELF4_HUMAN	Q99607	ELF4:ELFR:MEF	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Ets-related factors{3.5.2}	Elf-1-like factors{3.5.2.3}	Elf-4 (ELFR, MEF){3.5.2.3.3}		Ets	Ets
ELF5	ELF5_HUMAN	Q9UKW6	ELF5:ESE2	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Ets-related factors{3.5.2}	EHF-like factors{3.5.2.4}	Elf-5 (ESE-2){3.5.2.4.3}	Elf-5, isoform 1 (ESE-2a){3.5.2.4.3.1}:Elf-5, isoform 2 (ESE-2b){3.5.2.4.3.2}:Elf-5, isoform 3{3.5.2.4.3.3}:Elf-5, isoform 4{3.5.2.4.3.4}	Ets	Ets
ELK1	ELK1_HUMAN	P19419	ELK1	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Ets-related factors{3.5.2}	Elk-like factors{3.5.2.2}	Elk-1{3.5.2.2.1}	Elk-1, isoform 1{3.5.2.2.1.1}:ELKV, isoform 2{3.5.2.2.1.2}	Ets	Ets
